,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,122.53,9.05,152.76,12.61,15.72,NA,,NA,,,1.01,1.29,9.98%,8.81%,1.17%
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,124.45,9.05,156.09,12.61,15.82,NA,,NA,,,1.01,1.3,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,126.21,9.19,159.26,12.82,16.17,NA,,NA,,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,128.38,9.27,162.97,12.92,16.4,NA,,NA,,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,127.54,9.27,162.88,12.92,16.5,NA,,NA,,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,127.54,9.2,163.86,12.69,16.3,NA,,NA,,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,127.26,9.13,164.48,12.45,16.1,NA,,NA,,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,128.94,9.06,167.63,12.22,15.89,NA,,NA,,,1.01,1.39,9.28%,9.03%,0.25%
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,129.56,8.92,169.4,11.89,15.54,NA,,NA,,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,127.68,9.07,167.94,11.95,15.72,NA,,NA,,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,127.25,9.15,168.37,11.91,15.76,NA,,NA,,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.4,11.13,1875.54,4.83,127.54,9.08,169.76,11.67,15.53,NA,,NA,,,1.01,1.48,9.83%,8.77%,1.05%
